area,bedroom,price,floor,road-width,parking
 95 m,3 phòng ngủ," 2,6 tỷ ",,,
 76 m,2 phòng ngủ," 3,09 tỷ ",,,
 68 m,2 phòng ngủ," 1,9 tỷ ",1 lầu,50m,chỗ để xe
 100 m,4 phòng ngủ," 3,7 tỷ ",3 lầu,,chỗ để xe
 81 m,3 phòng ngủ," 2,13 tỷ ",1 lầu,12m,
 100 m,3 phòng ngủ," 2,68 tỷ ",1 lầu,12m,
 72 m,2 phòng ngủ," 2,9 tỷ ",10 lầu,12m,
 75 m,2 phòng ngủ," 2,56 tỷ ",10 lầu,6m,chỗ để xe
 55 m,2 phòng ngủ," 1,65 tỷ ",40 lầu,6m,chỗ để xe
 81 m,3 phòng ngủ," 3,36 tỷ ",10 lầu,6m,chỗ để xe
 66 m,2 phòng ngủ," 2,08 tỷ ",9 lầu,4m,chỗ để xe
 94 m,3 phòng ngủ," 3,75 tỷ ",20 lầu,5m,chỗ để xe
 90 m,3 phòng ngủ," 2,55 tỷ ",7 lầu,,chỗ để xe
 90 m,3 phòng ngủ," 3,36 tỷ ",8 lầu,3m,
 91 m,3 phòng ngủ," 3,5 tỷ ",1 lầu,12m,chỗ để xe
 85 m,3 phòng ngủ," 2,15 tỷ ",15 lầu,,
 85 m,2 phòng ngủ," 3,1 tỷ ",1 lầu,20m,chỗ để xe
 81 m,2 phòng ngủ," 3,3 tỷ ",1 lầu,20m,chỗ để xe
 82 m,3 phòng ngủ," 3,28 tỷ ",5 lầu,2m,chỗ để xe
 79 m,2 phòng ngủ," 2,7 tỷ ",,,
 57 m,2 phòng ngủ," 2,65 tỷ ",23 lầu,8m,
 110 m,3 phòng ngủ," 4,55 tỷ ",4 lầu,5m,
 90 m,3 phòng ngủ," 3,58 tỷ ",17 lầu,8m,
 78 m,2 phòng ngủ," 2,57 tỷ ",15 lầu,8m,
 63 m,2 phòng ngủ," 1,68 tỷ ",6 lầu,12m,
 75 m,2 phòng ngủ," 2,5 tỷ ",7 lầu,19m,chỗ để xe
 112 m,3 phòng ngủ," 4,5 tỷ ",6 lầu,9m,
 81 m,3 phòng ngủ," 1,8 tỷ ",7 lầu,19m,chỗ để xe
 60 m,2 phòng ngủ," 1,65 tỷ ",24 lầu,5m,chỗ để xe
 54 m,2 phòng ngủ," 1,65 tỷ ",8 lầu,5m,chỗ để xe
 115 m,3 phòng ngủ," 2,89 tỷ ",1 lầu,6m,chỗ để xe
 128 m,3 phòng ngủ," 4,49 tỷ ",1 lầu,8m,chỗ để xe
 88 m,3 phòng ngủ," 2,45 tỷ ",1 lầu,8m,chỗ để xe
 100 m,3 phòng ngủ," 3,69 tỷ ",1 lầu,6m,chỗ để xe
 86 m,2 phòng ngủ," 1,69 tỷ ",1 lầu,5m,chỗ để xe
 76 m,2 phòng ngủ," 2,75 tỷ ",3 lầu,2m,chỗ để xe
 82 m,2 phòng ngủ," 2,52 tỷ ",6 lầu,6m,chỗ để xe
 65 m,2 phòng ngủ, 25 triệu / m,42 lầu,,
 54 m,2 phòng ngủ, 24 triệu / m,25 lầu,,
 84 m,2 phòng ngủ," 2,61 tỷ ",9 lầu,15m,
 76 m,2 phòng ngủ," 2,97 tỷ ",21 lầu,10m,
 74 m,2 phòng ngủ," 2,9 tỷ ",29 lầu,,chỗ để xe
 79 m,2 phòng ngủ," 3,2 tỷ ",1 lầu,,
 103 m,2 phòng ngủ," 2,78 tỷ ",1 lầu,,
 64 m,2 phòng ngủ," 2,35 tỷ ",15 lầu,,
 58 m,2 phòng ngủ," 1,55 tỷ ",1 lầu,0m,
 62 m,2 phòng ngủ," 2,85 tỷ ",,,
 123 m,3 phòng ngủ," 4,8 tỷ ",20 lầu,30m,chỗ để xe
 86 m,2 phòng ngủ, 30 triệu / m,19 lầu,,chỗ để xe
 79 m,2 phòng ngủ," 2,34 tỷ ",1 lầu,4m,chỗ để xe
 118 m,3 phòng ngủ," 2,79 tỷ ",22 lầu,8m,
 80 m,10 phòng ngủ," 10,7 tỷ ",6 lầu,"3,5m",
 114 m,3 phòng ngủ," 3,39 tỷ ",1 lầu,10m,chỗ để xe
 45 m,2 phòng ngủ, 680 triệu ,5 lầu,,
 92 m,3 phòng ngủ," 2,9 tỷ ",30 lầu,30m,chỗ để xe
