area,bedroom,price
 43 m,2 phòng ngủ," 1,9 tỷ "
 74 m,2 phòng ngủ, 2 tỷ 
 56 m,2 phòng ngủ," 1,87 tỷ "
 56 m,2 phòng ngủ," 1,87 tỷ "
 75 m,2 phòng ngủ," 2,7 tỷ "
 69 m,2 phòng ngủ," 2,2 tỷ "
 69 m,2 phòng ngủ," 1,95 tỷ "
 62 m,2 phòng ngủ," 2,3 tỷ "
 80 m,2 phòng ngủ," 2,7 tỷ "
 73 m,3 phòng ngủ," 3,5 tỷ "
 70 m,2 phòng ngủ," 2,6 tỷ "
 58 m,2 phòng ngủ," 1,75 tỷ "
 71 m,2 phòng ngủ," 2,6 tỷ "
 54 m,2 phòng ngủ," 1,5 tỷ "
 58 m,2 phòng ngủ," 1,9 tỷ "
 71 m,2 phòng ngủ," 2,65 tỷ "
 56 m,2 phòng ngủ," 1,87 tỷ "
 77 m,3 phòng ngủ," 2,3 tỷ "
 87 m,3 phòng ngủ," 2,4 tỷ "
 85 m,2 phòng ngủ," 3,2 tỷ "
 83 m,2 phòng ngủ," 2,4 tỷ "
 128 m,3 phòng ngủ," 4,3 tỷ "
 82 m,2 phòng ngủ," 2,68 tỷ "
 77 m,2 phòng ngủ," 2,5 tỷ "
 67 m,2 phòng ngủ," 1,5 tỷ "
 63 m,2 phòng ngủ," 1,5 tỷ "
 82 m,3 phòng ngủ," 2,2 tỷ "
 79 m,2 phòng ngủ," 2,95 tỷ "
 54 m,2 phòng ngủ," 1,89 tỷ "
 74 m,2 phòng ngủ," 2,72 tỷ "
 74 m,3 phòng ngủ," 2,25 tỷ "
 65 m,2 phòng ngủ," 1,36 tỷ "
 70 m,2 phòng ngủ," 2,2 tỷ "
 74 m,3 phòng ngủ," 1,95 tỷ "
 56 m,2 phòng ngủ," 1,78 tỷ "
 45 m,1 phòng ngủ," 1,25 tỷ "
 56 m,2 phòng ngủ," 1,45 tỷ "
 74 m,3 phòng ngủ," 1,95 tỷ "
 76 m,3 phòng ngủ," 1,78 tỷ "
 64 m,2 phòng ngủ," 3,25 tỷ "
 90 m,2 phòng ngủ, 3 tỷ 
 65 m,2 phòng ngủ," 1,75 tỷ "
 91 m,3 phòng ngủ," 3,5 tỷ "
 90 m,3 phòng ngủ," 2,45 tỷ "
 45 m,1 phòng ngủ," 1,78 tỷ "
 70 m,2 phòng ngủ," 2,666 tỷ "
 60 m,2 phòng ngủ," 1,6 tỷ "
 81 m,2 phòng ngủ," 2,7 tỷ "
 78 m,3 phòng ngủ," 1,8 tỷ "
 63 m,2 phòng ngủ," 2,7 tỷ "
 131 m,3 phòng ngủ, 31 triệu / m
