area,bedroom,price
90.0,3.0,2.53
75.0,3.0,1.88
65.0,2.0,2.58
75.0,3.0,1.85
76.0,2.0,2.55
80.0,2.0,2.7
130.0,3.0,3.8
74.0,3.0,2.15
107.0,3.0,2.98
130.0,3.0,3.8
85.0,2.0,3.1
82.0,2.0,2.25
95.0,3.0,3.5
78.0,2.0,2.9
55.0,2.0,2.3
58.0,2.0,1.75
60.0,2.0,2.3
50.0,2.0,1.9
65.0,2.0,2.68
96.0,3.0,2.9
96.0,3.0,2.9
69.0,2.0,2.36
84.0,2.0,3.09
45.0,1.0,0.95
60.0,2.0,2.35
50.0,2.0,1.05
98.0,2.0,2.25
50.0,1.0,1.78
75.0,3.0,2.15
66.0,2.0,2.08
56.0,2.0,1.95
83.0,2.0,4.0
81.0,2.0,2.6
75.0,3.0,2.0
71.0,2.0,2.39
75.0,2.0,1.65
50.0,2.0,0.78
69.0,2.0,2.76
100.0,3.0,4.1
30.0,1.0,0.59
72.0,2.0,2.8
71.0,3.0,2.2
60.0,2.0,1.98
63.0,2.0,2.25
95.0,3.0,4.25
71.0,2.0,2.1
69.0,2.0,1.89
68.0,2.0,2.25
85.0,2.0,3.2
100.0,3.0,3.4
67.0,2.0,3.02
99.0,3.0,4.1
66.0,2.0,2.8
68.0,2.0,2.3
130.0,4.0,3.0
70.0,2.0,2.0
82.0,3.0,3.0
96.0,3.0,2.6
90.0,3.0,2.7
46.0,2.0,1.17
61.0,2.0,1.5
68.0,2.0,1.68
75.0,3.0,3.15
56.0,2.0,1.29
58.0,2.0,1.25
65.0,2.0,2.4
80.0,2.0,3.95
68.0,2.0,2.65
63.0,2.0,1.48
115.0,3.0,3.65
72.0,2.0,2.15
85.0,3.0,3.1
81.0,2.0,3.3
90.0,2.0,3.3
82.0,3.0,3.28
52.0,2.0,1.83
76.0,2.0,2.75
85.0,2.0,2.3
49.0,1.0,1.63
75.0,2.0,1.95
77.0,2.0,2.15
50.0,2.0,1.42
75.0,2.0,1.99
54.0,2.0,1.53
65.0,2.0,2.05
80.0,2.0,3.2
120.0,2.0,2.1
62.0,2.0,2.85
79.0,2.0,2.5
69.0,2.0,1.8
58.0,2.0,1.55
68.0,2.0,2.25
84.0,2.0,2.33
89.0,3.0,2.5
100.0,3.0,3.6
63.0,2.0,1.85
100.0,2.0,3.35
95.0,3.0,3.4
50.0,2.0,0.76
100.0,3.0,2.57
88.0,2.0,2.95
80.0,2.0,3.35
67.0,2.0,1.58
93.0,3.0,2.6
68.0,2.0,2.8
82.0,3.0,2.45
70.0,2.0,2.2
90.0,3.0,2.55
69.0,2.0,2.2
71.0,2.0,2.38
75.0,2.0,2.18
63.0,2.0,1.93
51.0,2.0,2.55
58.0,2.0,1.57
141.0,3.0,5.2
89.0,3.0,3.0
78.0,3.0,2.9
76.0,3.0,2.3
76.0,3.0,2.3
94.0,3.0,3.9
94.0,3.0,3.9
56.0,2.0,1.5
68.0,2.0,2.68
48.0,2.0,0.88
65.0,2.0,1.75
74.0,3.0,1.76
56.0,2.0,1.5
74.0,3.0,2.1
68.0,2.0,2.4
65.0,2.0,1.87
60.0,2.0,2.35
65.0,2.0,2.4
96.0,3.0,3.43
72.0,2.0,2.88
125.0,3.0,3.7
59.0,2.0,2.4
74.0,3.0,2.05
20.0,1.0,0.85
130.0,2.0,3.0
75.0,3.0,3.0
108.0,3.0,3.95
35.0,1.0,1.25
84.0,2.0,3.0
90.0,3.0,4.0
74.0,3.0,2.1
70.0,2.0,2.1
90.0,3.0,3.7
65.0,2.0,2.4
58.0,2.0,2.7
76.0,3.0,3.7
84.0,3.0,2.4
75.0,3.0,2.47
99.0,3.0,3.0
75.0,2.0,2.2
55.0,1.0,1.35
78.0,4.0,2.0
64.0,2.0,2.35
99.0,3.0,4.05
71.0,2.0,3.3
56.0,2.0,1.87
68.0,2.0,2.7
56.0,2.0,1.87
60.0,2.0,1.9
82.0,2.0,2.75
70.0,2.0,2.75
75.0,2.0,2.35
75.0,2.0,2.85
54.0,2.0,1.4
106.0,3.0,4.2
50.0,1.0,1.4
50.0,2.0,1.6
50.0,2.0,1.6
68.0,2.0,2.39
87.0,2.0,2.4
68.0,2.0,2.4
55.0,2.0,1.62
76.0,2.0,2.35
75.0,2.0,2.3
90.0,3.0,3.2
49.0,1.0,1.76
